65954	2012	09	18	04	view	4	11	1
62150	2012	09	18	06	view	4	11	1
59014	2012	09	18	03	view	4	11	1
58545	2012	09	18	05	view	4	11	1
56857	2012	09	18	08	view	4	11	1
56283	2012	09	18	07	view	4	11	1
52948	2012	09	18	09	view	4	11	1
41283	2012	09	18	02	view	4	11	1
40055	2012	09	18	01	view	4	11	1
29012	2012	09	18	10	view	4	11	1
27014	2012	09	18	00	view	4	11	1
9678	2012	09	18	03	view	3	11	1
9120	2012	09	18	02	view	3	11	1
8649	2012	09	18	04	view	3	11	1
7214	2012	09	18	00	index	1	44	1
7068	2012	09	18	05	view	4	44	1
6444	2012	09	18	05	view	3	11	1
6102	2012	09	18	05	view	1	11	1
5723	2012	09	18	06	view	3	11	1
5607	2012	09	18	02	view	1	11	1
5607	2012	09	18	02	index	1	10	1
5589	2012	09	18	02	view	1	10	1
5533	2012	09	18	07	view	3	44	1
5494	2012	09	18	10	view	4	44	1
5487	2012	09	18	04	view	1	11	1
5356	2012	09	18	10	view	3	11	1
5297	2012	09	18	01	view	2	11	1
5245	2012	09	18	01	index	1	10	1
5198	2012	09	18	10	index	1	44	1
5131	2012	09	18	02	view	2	11	1
5120	2012	09	18	05	view	2	11	1
5022	2012	09	18	10	index	1	10	1
4944	2012	09	18	02	view	3	44	1
4937	2012	09	18	07	index	1	10	1
4928	2012	09	18	01	view	1	10	1
4833	2012	09	18	04	view	2	11	1
4818	2012	09	18	06	view	3	44	1
4797	2012	09	18	07	view	3	11	1
4749	2012	09	18	10	view	1	10	1
4679	2012	09	18	07	view	1	10	1
4657	2012	09	18	09	view	3	11	1
4650	2012	09	18	08	view	3	11	1
4564	2012	09	18	05	index	1	10	1
4555	2012	09	18	03	index	1	10	1
4537	2012	09	18	03	view	1	10	1
4530	2012	09	18	01	view	3	11	1
4527	2012	09	18	03	view	1	11	1
4513	2012	09	18	03	view	3	44	1
4459	2012	09	18	06	view	2	11	1
4449	2012	09	18	07	view	2	11	1
4445	2012	09	18	08	index	1	44	1
4443	2012	09	18	06	index	1	10	1
4434	2012	09	18	09	index	1	44	1
4421	2012	09	18	03	view	2	11	1
4409	2012	09	18	01	index	1	44	1
4362	2012	09	18	05	view	1	10	1
4359	2012	09	18	01	view	1	11	1
4317	2012	09	18	00	index	1	10	1
4294	2012	09	18	07	view	4	44	1
4271	2012	09	18	06	view	1	10	1
4193	2012	09	18	04	index	1	10	1
4140	2012	09	18	06	view	1	11	1
4119	2012	09	18	04	view	1	10	1
4060	2012	09	18	01	view	3	44	1
4043	2012	09	18	08	index	1	10	1
4009	2012	09	18	09	index	1	10	1
4003	2012	09	18	01	view	4	44	1
4000	2012	09	18	00	view	4	44	1
3899	2012	09	18	00	view	2	11	1
3849	2012	09	18	00	view	1	10	1
3726	2012	09	18	05	view	3	44	1
3681	2012	09	18	08	view	1	10	1
3643	2012	09	18	09	view	1	10	1
3572	2012	09	18	02	view	4	44	1
3531	2012	09	18	10	view	2	11	1
3515	2012	09	18	09	view	4	44	1
3411	2012	09	18	07	index	1	44	1
3393	2012	09	18	08	view	4	44	1
3335	2012	09	18	08	view	2	11	1
3290	2012	09	18	07	view	1	11	1
3256	2012	09	18	03	view	4	44	1
3200	2012	09	18	04	view	4	44	1
3119	2012	09	18	00	view	2	44	1
3039	2012	09	18	02	view	2	33	1
3028	2012	09	18	06	view	4	44	1
3025	2012	09	18	09	view	2	11	1
2935	2012	09	18	00	view	3	11	1
2736	2012	09	18	00	view	5	44	1
2735	2012	09	18	08	view	1	11	1
2723	2012	09	18	05	view	2	33	1
2680	2012	09	18	00	index	5	44	1
2624	2012	09	18	10	view	1	12	1
2572	2012	09	18	02	index	1	44	1
2457	2012	09	18	03	view	2	33	1
2452	2012	09	18	06	view	2	33	1
2421	2012	09	18	10	view	1	31	1
2415	2012	09	18	01	view	2	33	1
2396	2012	09	18	04	view	2	33	1
2258	2012	09	18	06	index	1	44	1
2242	2012	09	18	10	view	2	44	1
2200	2012	09	18	07	view	2	44	1
2177	2012	09	18	10	view	5	44	1
2171	2012	09	18	00	search	2	44	1
2161	2012	09	18	00	view	1	44	1
2100	2012	09	18	00	view	3	44	1
2068	2012	09	18	01	view	5	44	1
2062	2012	09	18	09	view	1	11	1
2032	2012	09	18	01	view	2	44	1
1951	2012	09	18	09	view	1	31	1
1939	2012	09	18	09	view	2	44	1
1863	2012	09	18	03	index	1	44	1
1747	2012	09	18	07	view	2	33	1
1720	2012	09	18	08	view	2	44	1
1691	2012	09	18	02	view	1	12	1
1677	2012	09	18	10	view	3	44	1
1659	2012	09	18	10	index	5	44	1
1642	2012	09	18	08	view	5	44	1
